Underlying Asset,Margin Mode,Leverage,Order Time,Side,Avg Fill,Price,Filled,Total,PNL,PNL%,Fee,Order Options,Reduce-only,Status
ENAUSDT,Cross,30,09/14/2025 12:11:54,Sell(SL),0.7399 USDT,Market,800 ENA,800 ENA,-27.92 USDT,-135.13164687661332%,0.355152 USDT,GTC,Y,Filled
ENAUSDT,Cross,30,09/13/2025 04:16:16,Buy,0.7748 USDT,Market,800 ENA,800 ENA,--,--,0.371904 USDT,GTC,N,Filled
BTCUSDT,Cross,20,08/27/2025 07:12:40,Buy(SL),112294.9 USDT,Market,0.0018 BTC,0.0018 BTC,-0.07913 USDT,-0.783264489601182%,0.12127855 USDT,GTC,Y,Filled
BTCUSDT,Cross,20,08/26/2025 04:41:45,Buy,109934.8 USDT,Market,0.0032 BTC,0.0032 BTC,7.41184 USDT,41.268229236265156%,0.21107481 USDT,GTC,Y,Filled
BTCUSDT,Cross,20,08/26/2025 03:54:26,Buy,111166.6 USDT,111188.2 USDT,0.005 BTC,0.005 BTC,5.422 USDT,19.320986004579024%,0.3334998 USDT,GTC,Y,Filled
BTCUSDT,Cross,20,08/26/2025 02:41:20,Sell,112251 USDT,Market,0.01 BTC,0.01 BTC,--,--,0.673506 USDT,GTC,N,Filled
FARTCOINUSDT,Cross,20,08/13/2025 20:49:03,Sell(SL),1.1114 USDT,Market,400 FARTCOIN,400 FARTCOIN,-5.7863999999999996 USDT,-25.697551928915162%,0.266736 USDT,GTC,Y,Filled
FARTCOINUSDT,Cross,20,08/13/2025 20:21:02,Sell,1.1267 USDT,1.1267 USDT,400 FARTCOIN,400 FARTCOIN,0.3336000000000004 USDT,1.481526220704774%,0.090136 USDT,GTC,Y,Filled
FARTCOINUSDT,Cross,20,08/13/2025 19:45:58,Buy,1.1258 USDT,Market,800 FARTCOIN,800 FARTCOIN,--,--,0.54041568 USDT,GTC,N,Filled
PEPEUSDT,Cross,30,08/12/2025 01:15:38,Sell(SL),0.000011669 USDT,Market,117500000 PEPE,117500000 PEPE,-10.234999999915 USDT,-22.228375656107655%,0.8226645 USDT,GTC,Y,Filled
PEPEUSDT,Cross,30,08/12/2025 01:07:01,Buy,0.000011756 USDT,Market,117500000 PEPE,117500000 PEPE,--,--,0.8288055 USDT,GTC,N,Filled
PEPEUSDT,Cross,3,08/12/2025 01:03:55,Sell,0.000011703 USDT,Market,4600000 PEPE,4600000 PEPE,-0.0276 USDT,-0.153727901614143%,0.03230028 USDT,GTC,Y,Filled
PEPEUSDT,Cross,3,08/12/2025 01:03:47,Sell,0.000011701 USDT,0.000011701 USDT,19500000 PEPE,19500000 PEPE,-0.156 USDT,-0.204970535485524%,0.0456339 USDT,GTC,Y,Filled
PEPEUSDT,Cross,3,08/11/2025 23:57:10,Buy,0.000011709 USDT,Market,24100000 PEPE,24100000 PEPE,--,--,0.16931214 USDT,GTC,N,Filled
FARTCOINUSDT,Cross,20,08/11/2025 19:27:39,Sell(SL),0.9965 USDT,Market,75 FARTCOIN,75 FARTCOIN,-3.7575 USDT,-95.73858207529142%,0.0448425 USDT,GTC,Y,Filled
FARTCOINUSDT,Cross,20,08/08/2025 22:06:37,Buy,1.0466 USDT,Market,75 FARTCOIN,75 FARTCOIN,--,--,0.047097 USDT,GTC,N,Filled
